baseline_bmi,target,first_model_crossing_week,first_supported_crossing_week,status,note
33.5,0.9,20.857142857142858,20.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
33.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
34.0,0.9,21.428571428571427,21.428571428571427,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
34.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
34.5,0.9,21.857142857142858,21.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
34.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
35.0,0.9,22.428571428571427,22.428571428571427,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
35.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
35.5,0.9,22.857142857142858,22.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
35.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
36.0,0.9,23.285714285714285,23.285714285714285,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
36.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
36.5,0.9,23.857142857142858,23.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
36.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
37.0,0.9,24.285714285714285,24.285714285714285,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
37.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
37.5,0.9,24.857142857142858,24.857142857142858,supported_grid_crossing,"exploratory threshold crossing, not recommended test time"
37.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
38.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
38.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
38.5,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
38.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
39.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
39.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
39.5,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
39.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
40.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
40.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
40.5,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
40.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
41.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
41.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
41.5,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
41.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
42.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
42.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
42.5,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
42.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
43.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
43.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
43.5,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
43.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
44.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
44.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
44.5,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
44.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
45.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
45.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
45.5,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
45.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
46.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
46.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
46.5,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
46.5,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
47.0,0.9,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
47.0,0.95,,,no_supported_crossing,"exploratory threshold crossing, not recommended test time"
